time,id,mass,radius,px,py,pz,vx,vy,vz
2.4014859493459110e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,8.0626979385717039e+00,-1.3806758517589536e-03,0.0000000000000000e+00,3.3566398252618762e-01,-6.1877026800194229e-05,0.0000000000000000e+00
2.4014859493459110e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,7.9714702907773605e+00,-5.8296400264764159e-01,0.0000000000000000e+00,7.8462915588380371e+00,4.1417112068197065e-01,0.0000000000000000e+00

2.6010779761292618e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,8.7328051889138560e+00,-1.4967608582165139e-03,0.0000000000000000e+00,3.3566212766238157e-01,-1.1725805701928553e-04,0.0000000000000000e+00
2.6010779761292618e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,8.7615989982069848e+00,-4.9797201314969874e-01,0.0000000000000000e+00,8.0317779394422342e+00,5.9522741425910741e+00,0.0000000000000000e+00

2.8001560277861529e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,9.4011872820905964e+00,-1.6130444629951087e-03,0.0000000000000000e+00,3.3567291487601930e-01,-1.8271523127327539e-04,0.0000000000000000e+00
2.8001560277861529e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,9.5041783930985186e+00,-3.6344567541505035e-01,0.0000000000000000e+00,6.9530565756708329e+00,1.2497991567990008e+01,0.0000000000000000e+00

3.0000564967658811e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.0072334377279184e+01,-1.7310943843785033e-03,0.0000000000000000e+00,3.3583138207347019e-01,1.5149848688921714e-04,0.0000000000000000e+00
3.0000564967658811e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,9.8669597461466374e+00,-9.9770200883964863e-02,0.0000000000000000e+00,-8.8936631694196606e+00,-2.0923380248259278e+01,0.0000000000000000e+00

3.2003309673854766e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.0744732723885789e+01,-1.8431211752135955e-03,0.0000000000000000e+00,3.3566881545984611e-01,-7.2134637792282852e-05,0.0000000000000000e+00
