R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P
306787.2515014561,310808.2173869064,1727.126940801933,2.740782615537603e-06,7.766726322006503e-08,0.16833782266270472,2860.4759988980836,4.815263014334287,0.007750453347520362,0.000406851826779352,0.785688556526793,0.680172845531672,2.5923386844404774
311059.3890124623,315136.3484866476,1708.466299593233,2.6743154193001462e-06,7.493202388946741e-08,0.16738919365003105,2903.976040424369,4.86094207785645,0.007677854355387478,0.00040000020136035484,0.7853539484931957,0.6808733369795164,2.5926493701073383
315391.01777945727,319524.7505759214,1690.0150711317667,2.609424376827586e-06,7.229280346421345e-08,0.16644669485752756,2948.1514932144,4.907100719848214,0.007605862112027335,0.0003932696043102745,0.7850215215343042,0.6815664456067339,2.5929570840939817
319782.96624242543,323974.2629528195,1671.770773941336,2.5460733592665055e-06,6.974624504004738e-08,0.1655102746244055,2993.012901390274,4.953743872634929,0.007534473074472251,0.00038665774898508987,0.7846912864324054,0.682252246259111,2.5932618487942136
324236.0743777184,328485.7366030047,1653.730957588026,2.4842270226493954e-06,6.728910846456382e-08,0.1645798818901264,3038.5709739796725,5.000876520123408,0.007463683686379207,0.00038016239581147135,0.7843632531000253,0.6829308132138863,2.593563686676646
328751.1938586982,333060.03436245886,1635.893202293112,2.4238507923341905e-06,6.491826630306634e-08,0.16365546618574164,3084.8365874985034,5.048503698338999,0.00739349037900222,0.0003737813512200784,0.7840374306002786,0.6836022201771357,2.5938626202732706
333329.1882186273,337698.0310825088,1618.255118549705,2.364910847701193e-06,6.263069994269533e-08,0.16273697762536463,3131.8207885741194,5.096630495968382,0.007323889572143664,0.00036751246660539594,0.7837138271706863,0.6842665402841703,2.5941586721719005
337970.93301582115,342400.6137971426,1600.814346743201,2.3073741071048003e-06,6.042349583013221e-08,0.16182436689777657,3179.534796609598,5.14526205490799,0.007254877675085043,0.0003613536373114187,0.7833924502447189,0.6849238460974902,2.5944518650102992
342677.3160010992,347168.68189265596,1583.5685567755363,2.251208213077698e-06,5.829384183834806e-08,0.16091758525816294,3227.990006489754,5.194403570818129,0.007186451087497465,0.0003553028016424739,0.7830733064733977,0.6855742096064432,2.5947422214644718
347449.2372875758,352003.14727966825,1566.5154476932298,2.1963815177847934e-06,5.6239023758007775e-08,0.16001658451997644,3277.197991329651,5.244060293682981,0.007118606200331803,0.00034935793989850067,0.7827564017467239,0.6862177022273386,2.5950297642443587
352287.60952280444,356904.93456752296,1549.6527473192764,2.142863068724348e-06,5.425642190929751e-08,0.15912131704692903,3327.170505266071,5.294237528376335,0.007051339396689217,0.00034351707343414646,0.7824417412139724,0.686854394800605,2.595314516082624
357193.3580633299,361874.98124112765,1532.9782118888365,2.0906225946736728e-06,5.234350787007883e-08,0.15823173574510577,3377.9194862928352,5.344940635233313,0.006984647052671849,0.0003377782637410199,0.7821293293046097,0.6874843575923251,2.5955964997257013
