R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P,zone,grad_P_raw,grad_Sigma_raw
51.438489242106655,52.11267765583424,192389.59959256777,3.404829460308225e-05,0.6558327488921152,138.78702537800092,5.120139745526412,71.06089648012855,0.00017433199986762002,6868740.076515862,0.3751641275637212,-1.2428734771824566,1.50032943976953,Standard,1.50032943976953,-1.2428734771824566
51.62838320132775,52.30506049661135,192123.81727784456,3.417232587735214e-05,0.6522169628881961,138.15250857484654,5.124980321748745,70.80288878463132,0.00017513247094383595,6768570.346052461,0.37516552166835027,-1.2435814509274223,1.5003322387779008,Standard,1.5003322387779008,-1.2435814509274223
51.818978186498086,52.4981535514686,191858.4011439947,3.4296987931714285e-05,0.6486211049579309,137.52053320137398,5.129812064077649,70.54544902747992,0.00017593707560781277,6669826.629894884,0.3751669308844612,-1.2442867037416363,1.5003350739029884,Standard,1.5003350739029884,-1.2442867037416363
52.010276785574554,52.691959442282446,191593.35067930823,3.4422283684232426e-05,0.6450450652493147,136.89109228718294,5.13463498987429,70.28857922598802,0.00017674583526604854,6572489.279083281,0.3751683493535438,-1.2449892694755818,1.5003379214913366,Standard,1.5003379214913366,-1.2449892694755818
52.20228159606794,52.886480800608425,191328.66537689915,3.454821608401024e-05,0.6414887345716918,136.26417882570377,5.13944911561355,70.03228133555699,0.00017755877149954442,6476538.899849123,0.37516977749805847,-1.2456891834749513,1.5003407830063225,Standard,1.5003407830063225,-1.2456891834749513
52.39499522507817,53.081720267716946,191064.34472591933,3.467478808757447e-05,0.6379520042738791,135.63978580958891,5.14425445818529,69.77655728582756,0.0001783759059752562,6381956.355546554,0.37517122164308603,-1.24638642500895,1.5003436835318098,Standard,1.5003436835318098,-1.24638642500895
52.588420289329775,53.27768049462913,190800.38821203247,3.480200266240398e-05,0.634434766248463,135.01790622448394,5.149051034652242,69.52140897417584,0.00017919726046300354,6288722.762500135,0.37517267801968046,-1.2470810085339963,1.500346607765323,Standard,1.500346607765323,-1.2470810085339963
52.782559415207324,53.474364142152744,190536.79533117605,3.492986280273731e-05,0.6309369131119636,134.39853303825367,5.153838861825534,69.26683825448947,0.0001800228568654849,6196819.485317494,0.37517414664966964,-1.247772946941268,1.5003495555702102,Standard,1.5003495555702102,-1.247772946941268
52.977415238791075,53.67177388091836,190273.56557046235,3.505837150963332e-05,0.6274583379469671,133.78165921332533,5.158617956717614,69.01284694973364,0.00018085271718742686,6106228.13549659,0.3751756321457833,-1.2484622369490808,1.5003525451697897,Standard,1.5003525451697897,-1.2484622369490808
53.17299040589296,53.869912391415745,190010.69842082073,3.518753180220101e-05,0.6239989344675577,133.1672777031558,5.163388336395006,68.75943684819494,0.00018168686354627775,6016930.567815241,0.3751771228457983,-1.2491489676885976,1.5003555296686955,Standard,1.5003555296686955,-1.2491489676885976
